duan.Label-Analysis(4),,,,,,,,,,,,
Volume3d (?m^3) ,Area3d (?m^2) ,EqDiameter (?m) ,BaryCenterX (?m) ,BaryCenterY (?m) ,BaryCenterZ (?m) ,index,,,,,,
1728,670.069,14.8884,3924.14,3787.55,1042.93,151,,,,,,14.8884
1472,607.427,14.1136,2745.91,3798.58,1043.97,152,,,,,,14.1136
1600,634.434,14.5113,3517.52,4020.86,1043.09,153,,,,,,14.5113
3648,1133.86,19.0994,3894.11,4175.1,1046.23,154,,,,,,19.0994
34240,5174.7,40.2883,2459.35,4329.08,1054.91,155,,,,,,40.2883
4608,1425.12,20.6461,2878.07,4316.05,1048.49,156,,,,,,20.6461
122432,12376,61.6073,3498.73,4380.42,1068.44,157,,,,,,61.6073
1536,631.192,14.3152,2627.62,4498.77,1042.43,158,,,,,,14.3152
2944,977.656,17.782,2774.26,1353.71,1049.37,159,,,,,,17.782
1920,729.978,15.4206,2548.82,1421.1,1047.2,160,,,,,,15.4206
18752,3526.73,32.9622,2207.71,1578.97,1058.32,161,,,,,,32.9622
1600,621.438,14.5113,3687.28,1915.1,1047.25,162,,,,,,14.5113
44928,6467.87,44.1069,3666.87,2679.07,1063.55,163,,,,,,44.1069
23744,4268.79,35.6603,3443.59,3218.02,1057.27,164,,,,,,35.6603
11136,2801.51,27.7062,3983.21,3321.15,1055.76,165,,,,,,27.7062
6656,1696.11,23.3384,2506.88,3556.3,1054.16,166,,,,,,23.3384
1408,567.908,13.906,3934.77,3654.92,1047.11,167,,,,,,13.906
11456,2714.34,27.9691,2799.05,3798.9,1055.94,168,,,,,,27.9691
1600,628.591,14.5113,4098,3863.58,1047.25,169,,,,,,14.5113
8832,2617.96,25.646,3014.93,4268.32,1062.26,170,,,,,,25.646
2176,828.843,16.0776,2583.66,4546.16,1050.23,171,,,,,,16.0776
1984,757.09,15.5901,2698.96,4561.17,1048.22,172,,,,,,15.5901
7360,1913.94,24.1338,2363.79,4627.14,1052.67,173,,,,,,24.1338
1856,712.371,15.2473,2749.99,4631.52,1049.14,174,,,,,,15.2473
3264,1072.48,18.4042,3629.07,4768.36,1049.91,175,,,,,,18.4042
1920,757.838,15.4206,3090.56,1200.04,1052,176,,,,,,15.4206
1344,571.871,13.692,3051.15,1349.77,1049.6,177,,,,,,13.692
2240,806.985,16.2337,2213.36,1347.79,1054.82,178,,,,,,16.2337
144960,14010.5,65.1753,2265.81,1894.97,1080.7,179,,,,,,65.1753
67264,8666.85,50.4578,3244.9,2157.42,1073.69,180,,,,,,50.4578
20864,3713.97,34.156,3603.41,2368.96,1064.22,181,,,,,,34.156
5760,1563.3,22.2403,3449.05,2618.84,1057.33,182,,,,,,22.2403
2624,897.46,17.1128,3292.61,3012.18,1053.66,183,,,,,,17.1128
23040,4042.69,35.3043,2855.91,3079.07,1063.9,184,,,,,,35.3043
1536,645.557,14.3152,4087.96,3411.1,1049.26,185,,,,,,14.3152
3712,1136.56,19.2104,2582.13,3677.38,1053.97,186,,,,,,19.2104
1600,631.322,14.5113,2319.12,4130.94,1051.89,187,,,,,,14.5113
2624,926.883,17.1128,3950.18,4143.2,1051.81,188,,,,,,17.1128
6016,1622.08,22.5651,3830.02,4333.87,1057.23,189,,,,,,22.5651
3200,1038.36,18.2831,2849.84,4388.7,1055.97,190,,,,,,18.2831
3200,1089.01,18.2831,2545.28,4396.86,1055.01,191,,,,,,18.2831
2368,840.608,16.5372,3632.9,4443.32,1051.58,192,,,,,,16.5372
1472,706.829,14.1136,2760.35,4489.54,1050.93,193,,,,,,14.1136
46976,6410.91,44.7671,2225.61,1243.65,1070.79,194,,,,,,44.7671
1792,688.606,15.07,2710.81,2046.1,1056.07,195,,,,,,15.07
20928,3894.89,34.1908,2591.56,2372.51,1064.82,196,,,,,,34.1908
2304,814.425,16.3868,3032.96,2792.55,1056.71,197,,,,,,16.3868
22080,3903.2,34.807,3737.28,3408.98,1067.27,198,,,,,,34.807
1344,550.065,13.692,3274.96,3678.72,1054.55,199,,,,,,13.692
80768,9233.05,53.6307,3753.47,3683.77,1077.14,200,,,,,,53.6307
1472,589.846,14.1136,3555.3,4101.89,1055.28,201,,,,,,14.1136
3456,1097.58,18.7582,3826.29,4121.7,1057.52,202,,,,,,18.7582
3776,1260.4,19.3202,2548.79,4165.81,1057.17,203,,,,,,19.3202
2624,906.466,17.1128,3358.08,4222.71,1057.37,204,,,,,,17.1128
15360,3031.45,30.8412,2930.94,4599.07,1065.28,205,,,,,,30.8412
2432,857.037,16.6848,2845.38,916.155,1059.46,206,,,,,,16.6848
89664,10663,55.5316,2858.08,1053.26,1079.01,207,,,,,,55.5316
35840,5591.38,40.9063,3104.96,1274.63,1072.24,208,,,,,,40.9063
239808,23498.1,77.0824,3582.19,1334.32,1097.04,209,,,,,,77.0824
92480,12196.6,56.1069,3748.48,1508.19,1081.55,210,,,,,,56.1069
2752,1059.35,17.3867,2117.37,1597.89,1059.02,211,,,,,,17.3867
3072,989.656,18.036,2400.29,1668.35,1061.26,212,,,,,,18.036
272000,21398.1,80.3878,2537.74,1680.14,1097.54,213,,,,,,80.3878
15616,3080.35,31.0116,3324.38,1718.69,1070.55,214,,,,,,31.0116
11328,2460.89,27.8645,2696.88,2084.73,1065.94,215,,,,,,27.8645
2368,844.009,16.5372,2627.82,2142.56,1060.01,216,,,,,,16.5372
12992,2834.34,29.1671,2690.48,2447.67,1068.9,217,,,,,,29.1671
4160,1246.5,19.9541,3637.48,3230.8,1063.18,218,,,,,,19.9541
99712,10750.7,57.5329,3464.43,4077.55,1082.84,219,,,,,,57.5329
2880,982.83,17.6522,4166.6,4239.73,1059.82,220,,,,,,17.6522
1344,571.976,13.692,3893.43,4271.48,1058.17,221,,,,,,13.692
1344,559.517,13.692,2635.15,2098.72,1064.07,222,,,,,,13.692
76352,8874.8,52.6349,3703.37,2164.93,1083.82,223,,,,,,52.6349
1344,553.49,13.692,2691.34,4078.91,1062.93,224,,,,,,13.692
2304,825.627,16.3868,4105.4,4087.77,1062.82,225,,,,,,16.3868
6144,1855.57,22.724,3003.87,4172.64,1065.97,226,,,,,,22.724
36416,5479.58,41.1242,2974.01,4407,1079.07,227,,,,,,41.1242
12736,2696.34,28.9742,2773.47,4416.31,1068.96,228,,,,,,28.9742
17344,3844,32.1157,2358.9,4496.49,1075.64,229,,,,,,32.1157
2368,835.616,16.5372,3156.04,4821.59,1065.63,230,,,,,,16.5372
6912,1734.73,23.6339,2434.4,1333.03,1070.78,231,,,,,,23.6339
124608,12263.7,61.9701,2491.26,1344.77,1090.38,232,,,,,,61.9701
6016,1572.7,22.5651,3152.23,1346.46,1070.04,233,,,,,,22.5651
1344,571.896,13.692,2394.58,1398.34,1069.98,234,,,,,,13.692
3712,1128.15,19.2104,2503.16,1629.03,1072.1,235,,,,,,19.2104
2816,955.358,17.5204,3665.96,1800.83,1068.84,236,,,,,,17.5204
212288,17783.3,74.0132,2544.56,1845.82,1095.57,237,,,,,,74.0132
2880,944.084,17.6522,3280.91,1905.41,1070.22,238,,,,,,17.6522
34560,5553.84,40.4134,3923.01,2036.41,1080.86,239,,,,,,40.4134
4608,1324.17,20.6461,3734.4,2367.21,1068.76,240,,,,,,20.6461
2752,972.482,17.3867,2785.75,3094.45,1071.21,241,,,,,,17.3867
1472,622.487,14.1136,2697.91,3673.36,1068.67,242,,,,,,14.1136
9920,2272.56,26.6586,3484.12,3752.34,1075.71,243,,,,,,26.6586
86592,11178.8,54.89,3512.27,3989.13,1089.88,244,,,,,,54.89
126080,12560.7,62.2132,3207.81,4129.56,1093,245,,,,,,62.2132
1856,874.152,15.2473,4067.92,4240.34,1068.86,246,,,,,,15.2473
1536,664.042,14.3152,4044.46,4246.27,1069.93,247,,,,,,14.3152
1408,583.793,13.906,3192.41,4454.56,1066.57,248,,,,,,13.906
1856,801.732,15.2473,2559.09,1434.14,1070.79,249,,,,,,15.2473
1920,747.638,15.4206,2929.09,1469.37,1070.13,250,,,,,,15.4206
3712,1166.68,19.2104,2314.68,1590.96,1075.97,251,,,,,,19.2104
3904,1210.89,19.5361,3000.73,1644.94,1074.01,252,,,,,,19.5361
1344,559.333,13.692,2592.1,1753.77,1071.5,253,,,,,,13.692
3520,1100.93,18.8733,2331.39,1947.39,1072.75,254,,,,,,18.8733
8384,2031.91,25.2049,2327.81,2198.43,1077.98,255,,,,,,25.2049
4672,1365.86,20.7412,3666.08,3166.06,1073.67,256,,,,,,20.7412
4352,1281.56,20.2565,2536.49,3497.99,1074.93,257,,,,,,20.2565
13248,3487.3,29.3574,3377.29,4226.35,1078.54,258,,,,,,29.3574
4864,1372.21,21.0216,4074.43,4392.63,1075.04,259,,,,,,21.0216
7424,1839.64,24.2036,3101.71,1472.38,1083.17,260,,,,,,24.2036
2816,953.145,17.5204,3043.14,1494.38,1077.66,261,,,,,,17.5204
151168,15300.2,66.0928,2694.98,1584.99,1104.1,262,,,,,,66.0928
17344,3319.76,32.1157,3315.86,2272.22,1086.9,263,,,,,,32.1157
1792,678.695,15.07,3062.81,2352.25,1074.79,264,,,,,,15.07
1984,747.692,15.5901,4008.63,3769.04,1075.45,265,,,,,,15.5901
1920,747.795,15.4206,2309.09,4047.64,1076.53,266,,,,,,15.4206
2240,822.227,16.2337,4156.1,4242.99,1078.13,267,,,,,,16.2337
1472,607.321,14.1136,3839.3,4296.84,1076.32,268,,,,,,14.1136
9152,2216.4,25.9521,2597.56,4510.12,1083.41,269,,,,,,25.9521
2240,825.522,16.2337,2960.44,908.131,1079.27,270,,,,,,16.2337
4800,1386.43,20.929,2366.21,1232.54,1083.78,271,,,,,,20.929
5056,1391.09,21.2946,2594.55,1659.46,1082.83,272,,,,,,21.2946
61376,7929.66,48.9403,3130.4,1684.15,1101.82,273,,,,,,48.9403
9152,2139.5,25.9521,3442.2,2512.08,1087.32,274,,,,,,25.9521
4224,1238.08,20.0559,2930.59,2919.65,1080.75,275,,,,,,20.0559
7296,1833.72,24.0637,2467.9,3044.09,1084.19,276,,,,,,24.0637
7488,1860.72,24.2729,2801.42,3181.91,1083.55,277,,,,,,24.2729
14336,3305.82,30.14,2733.08,3198.42,1091.65,278,,,,,,30.14
2688,923.59,17.2508,2791.24,3873.39,1081.12,279,,,,,,17.2508
3648,1140.02,19.0994,3239.52,4249.21,1081.88,280,,,,,,19.0994
1728,711.414,14.8884,2338.81,4273.47,1079.97,281,,,,,,14.8884
5120,1718.89,21.3841,2611.76,4312.35,1090.23,282,,,,,,21.3841
15616,3220.58,31.0116,3021.48,4460.77,1089.93,283,,,,,,31.0116
106496,11340.2,58.8092,2439.97,4482.82,1100.95,284,,,,,,58.8092
1472,621.817,14.1136,2319.65,4477.71,1080.32,285,,,,,,14.1136
345216,30349.3,87.0357,3740.56,1115.89,1133.87,286,,,,,,87.0357
141632,13555.1,64.6727,2884.75,1382.75,1113.36,287,,,,,,64.6727
2432,855.315,16.6848,3849.38,1393.21,1083.25,288,,,,,,16.6848
3776,1359.42,19.3202,3198.28,1454.76,1085.37,289,,,,,,19.3202
156032,14489.6,66.7942,2867.09,1823.58,1113.39,290,,,,,,66.7942
3712,1204.92,19.2104,2304.34,4115.45,1087.83,291,,,,,,19.2104
4608,1342.55,20.6461,4096.23,4195.33,1086.32,292,,,,,,20.6461
1344,587.035,13.692,3775.72,4211.1,1083.69,293,,,,,,13.692
2176,780.083,16.0776,3432.02,4376.75,1083.4,294,,,,,,16.0776
4096,1254.35,19.8512,3752.58,4469.23,1085.49,295,,,,,,19.8512
2560,898.129,16.9726,2345.16,4600.9,1084.63,296,,,,,,16.9726
1984,744.318,15.5901,3660.38,1126.33,1086.8,297,,,,,,15.5901
16256,3102.69,31.4296,2842.07,1313.26,1097.07,298,,,,,,31.4296
1856,712.933,15.2473,3904.06,1483.24,1088.31,299,,,,,,15.2473
6720,1724.92,23.413,2974.31,1585.69,1091.16,300,,,,,,23.413
6656,1703.78,23.3384,2824.34,1651.18,1091.97,301,,,,,,23.3384
1536,661.468,14.3152,2576.96,1784.94,1088.26,302,,,,,,14.3152
2176,795.915,16.0776,3761.07,1844.51,1090.7,303,,,,,,16.0776
1536,610.853,14.3152,3390.96,2089.6,1086.93,304,,,,,,14.3152
2048,812.959,15.7559,2876.96,3325.23,1088.06,305,,,,,,15.7559
2432,867.001,16.6848,3275.48,3842.37,1088.72,306,,,,,,16.6848
4544,1340.76,20.5501,2655.13,4001.19,1089.86,307,,,,,,20.5501
3904,1284,19.5361,2398.63,4028.74,1091.13,308,,,,,,19.5361
2432,852.529,16.6848,4093.38,4160.58,1089.35,309,,,,,,16.6848
1856,739.942,15.2473,4134.68,4216.9,1087.48,310,,,,,,15.2473
2496,906.44,16.8299,2827.06,4245.15,1089.6,311,,,,,,16.8299
1536,726.395,14.3152,2344.79,4390.44,1091.1,312,,,,,,14.3152
36416,5890.07,41.1242,2428.38,4568.99,1101.97,313,,,,,,41.1242
1728,685.98,14.8884,4083.85,4573.18,1088.56,314,,,,,,14.8884
1792,721.404,15.07,3168.24,4790.25,1088.07,315,,,,,,15.07
2880,969.882,17.6522,3516.2,947.992,1092.35,316,,,,,,17.6522
4864,1374.81,21.0216,3043.38,955.945,1095.04,317,,,,,,21.0216
4096,1223,19.8512,3746.89,1307.92,1093.93,318,,,,,,19.8512
5888,1816.59,22.4039,2655.43,1399.89,1093.45,319,,,,,,22.4039
4864,1386.71,21.0216,2296.43,1443.79,1095.04,320,,,,,,21.0216
5568,1528.57,21.9904,2568.15,1483.33,1093.92,321,,,,,,21.9904
5440,1482.3,21.8206,3501.87,1519.76,1098.23,322,,,,,,21.8206
2176,813.679,16.0776,2223.54,1616.87,1094.46,323,,,,,,16.0776
1344,577.818,13.692,2642.38,1768.06,1092.26,324,,,,,,13.692
10816,2481.93,27.4382,2501.87,2159.6,1100.47,325,,,,,,27.4382
23040,4148.37,35.3043,3130.39,2851.18,1105.08,326,,,,,,35.3043
121216,13656.6,61.4027,3260.07,3419.97,1115.35,327,,,,,,61.4027
1792,691.232,15.07,2641.53,3779.25,1091.22,328,,,,,,15.07
1536,613.454,14.3152,3407.96,4094.94,1091.6,329,,,,,,14.3152
4096,1244.67,19.8512,2275.64,4150.48,1095.06,330,,,,,,19.8512
12160,2573.76,28.5307,3512.09,4162.85,1099.46,331,,,,,,28.5307
3072,999.592,18.036,3510.04,4294.6,1093.01,332,,,,,,18.036
14784,4467.64,30.4507,2648.38,4330.64,1108.68,333,,,,,,30.4507
9088,2090.72,25.8915,3904.7,4414.15,1096.71,334,,,,,,25.8915
79104,9294.88,53.2599,2833.71,4445.22,1112.33,335,,,,,,53.2599
1600,695.812,14.5113,2686.16,1181.66,1094.93,336,,,,,,14.5113
