chushi.resampled.Label-Analysis,,,,,,,,,
Volume3d (?m^3) ,Area3d (?m^2) ,EqDiameter (?m) ,BaryCenterX (?m) ,BaryCenterY (?m) ,BaryCenterZ (?m) ,index,,,
2560,899.981,16.9726,2244.76,1189.8,1091.53,281,,,16.9726
19264,3611.82,33.2595,3412.38,2349.71,1101.39,282,,,33.2595
3904,1192.99,19.5361,2573.45,2880.28,1095.65,283,,,19.5361
3392,1098.35,18.6417,3358.73,2883.63,1096.29,284,,,18.6417
3584,1098.56,18.987,2301.96,3224.96,1095.22,285,,,18.987
1728,680.005,14.8884,2819.7,3250.07,1090.78,286,,,14.8884
1728,658.278,14.8884,2734.96,3539.7,1091.52,287,,,14.8884
19840,3558.99,33.5878,3164.79,4300.97,1101.89,288,,,33.5878
10496,2318.67,27.1649,3015.03,4388.32,1098.59,289,,,27.1649
3328,1061.33,18.5237,2306.11,4654.03,1093.32,290,,,18.5237
1472,592.367,14.1136,3683.48,4854.75,1094.06,291,,,14.1136
4416,1285.32,20.3553,2570.55,4981.71,1094.35,292,,,20.3553
2560,883.07,16.9726,3756.36,5132.5,1094.33,293,,,16.9726
192640,24077.8,71.6555,3037.39,891.023,1145.96,294,,,71.6555
1856,702.251,15.2473,2313.3,1511.38,1098.79,295,,,15.2473
32832,5031.96,39.7283,3646.63,1695.09,1111.87,296,,,39.7283
1664,663.347,14.7023,3152.03,1874.49,1094.01,297,,,14.7023
2560,866.974,16.9726,2869.76,2625.8,1096.73,298,,,16.9726
1792,691.874,15.07,2601.1,4060.67,1095.36,299,,,15.07
63232,8119.25,49.4287,3640.54,4457.63,1112.32,300,,,49.4287
1984,751.064,15.5901,2844.89,4722.46,1097.38,301,,,15.5901
1728,678.381,14.8884,2310.07,4834.36,1096.71,302,,,14.8884
3136,990.456,18.1604,2581.57,4957.23,1099.01,303,,,18.1604
30784,4858.5,38.8844,3226.46,1186.81,1111.8,304,,,38.8844
1536,625.885,14.3152,2523.46,1216.77,1098.93,305,,,14.3152
1408,613.963,13.906,2363.68,1424.01,1098.39,306,,,13.906
1920,720.041,15.4206,2460.02,1515.1,1098.53,307,,,15.4206
1472,604.877,14.1136,2621.04,1666.41,1098.58,308,,,14.1136
17664,3363.89,32.312,3572.61,2229.67,1109.37,309,,,32.312
1344,553.49,13.692,3419.34,2447.29,1098.55,310,,,13.692
3392,1097.45,18.6417,3626.5,2544.16,1101.95,311,,,18.6417
187008,19786.8,70.9502,2294.12,3679.52,1124.95,312,,,70.9502
2304,798.463,16.3868,2436.4,3740.55,1100.6,313,,,16.3868
2368,828.766,16.5372,3721.44,4586.13,1101.09,314,,,16.5372
22656,3942.32,35.1071,2325.56,4686.72,1110.29,315,,,35.1071
2048,750.684,15.7559,3942.96,4739.35,1099.93,316,,,15.7559
2496,861.957,16.8299,2252.49,4821.77,1102.11,317,,,16.8299
75712,9630.07,52.4874,2207.68,1125.97,1126.79,318,,,52.4874
1664,670.095,14.7023,3605.42,1321.72,1105.55,319,,,14.7023
12928,2708.57,29.1191,2896.78,1394.23,1112.81,320,,,29.1191
1664,654.799,14.7023,2986.19,1602.18,1103.39,321,,,14.7023
2432,864.242,16.6848,2326.43,1697,1104.83,322,,,16.6848
3584,1219.33,18.987,3772.96,1999.82,1106.07,323,,,18.987
1728,660.746,14.8884,3622.96,2148.88,1102.78,324,,,14.8884
2304,882.087,16.3868,2873.18,4638.1,1105.71,325,,,16.3868
1664,652.251,14.7023,2170.34,4717.41,1104.78,326,,,14.7023
1472,615.896,14.1136,2472.17,4881.89,1105.37,327,,,14.1136
1472,592.393,14.1136,2403.83,5099.97,1105.19,328,,,14.1136
2560,890.897,16.9726,3604.76,692.303,1107.13,329,,,16.9726
1408,580.524,13.906,3780.96,990.376,1105.48,330,,,13.906
1984,751.037,15.5901,3811.09,992.78,1108.48,331,,,15.5901
58112,7381.02,48.0569,3837.77,1338.83,1125.35,332,,,48.0569
10752,2401.41,27.384,2809.98,1479.58,1114.1,333,,,27.384
57408,8165.95,47.8621,2812.65,2608.21,1127.11,334,,,47.8621
5184,1607.53,21.4728,4009.47,3365.62,1110.88,335,,,21.4728
